Name,Country,Varietal,Wine type,Rating,NumberOfRatings,Year,Price$
Castello del Poggio Moscato Provincia di Pavia,Italy,Muscat,White Wine,4.6,657,Not available,13.99
Cantine Maschio Prosecco Brut,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,3.8,302,Not available,12.99
Torrebruna Sangiovese 2019,Italy,Sangiovese,Red Wine,4.4,59, 2019,11.99
Nino Franco Primo Franco Prosecco 2020,Italy,Vintage Sparkling Wine,Sparkling & Champagne,0.0,0, 2020,39.99
Gaja Sperss Barolo 2017,Italy,Nebbiolo,Red Wine,0.0,0, 2017,349.99
Tenuta Guado al Tasso (1.5 Liter Magnum) 2014,Italy,Bordeaux Red Blends,Red Wine,0.0,0, 2014,299.97
Vietti Moscato d'Asti 2021,Italy,Muscat,White Wine,4.6,44, 2021,16.99
Monte Antico Rosso 2018,Italy,Tuscan Blends,Red Wine,3.7,20, 2018,11.99
Altesino Brunello di Montalcino (1.5 Liter Magnum) 2017,Italy,Sangiovese,Red Wine,0.0,0, 2017,139.99
Braida Brachetto d'Acqui 2021,Italy,Red Sparkling Wine,Sparkling & Champagne,0.0,0, 2021,24.99
Feudo di Santa Tresa Cerasuolo di Vittoria 2016,Italy,Other Red Blends,Red Wine,3.4,17, 2016,11.99
Tommasi Amarone della Valpolicella Classico 2017,Italy,Other Red Blends,Red Wine,3.7,15, 2017,73.99
Cesari Amarone della Valpolicella Classico 2016,Italy,Other Red Blends,Red Wine,4.1,30, 2016,47.99
Bertani Amarone Classico 2009,Italy,Other Red Blends,Red Wine,4.6,32, 2009,129.99
La Valentina Montepulciano d'Abruzzo 2019,Italy,Montepulciano,Red Wine,3.8,6, 2019,18.99
Jermann Dreams 2020,Italy,Chardonnay,White Wine,0.0,0, 2020,69.99
La Massa Toscana 2018,Italy,Tuscan Blends,Red Wine,3.9,63, 2018,21.99
Gaja Costa Russi 2017,Italy,Nebbiolo,Red Wine,0.0,0, 2017,639.99
Zenato Valpolicella Superiore 2019,Italy,Other Red Blends,Red Wine,0.0,0, 2019,16.99
Argiolas Turriga Isola dei Nuraghi 2018,Italy,Grenache,Red Wine,0.0,0, 2018,89.99
Bellissima Zero Sugar Sparkling Wine,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,4.3,227,Not available,18.99
